player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Rafael Leão,POR,0,0.18,3,4,85.5,1.0
Radu Drăgușin,ROU,0,0.14,3,4,100.0,1.0
Facundo Pellistri,URU,1,1.01,3,6,95.0,1.0
Ramón Sosa,PAR,1,0.14,3,3,90.0,1.0
Randal Kolo Muani,FRA,1,0.45,3,5,100.0,1.0
Remo Freuler,SUI,1,0.21,3,5,100.0,1.0
Ricardo Rodríguez,SUI,0,0.07,3,5,85.5,1.0
Andrés Gómez,COL,0,0.76,3,6,85.5,1.0
Andrei Ratiu,ROU,0,0.13,3,4,85.5,1.0
Bradley Barcola,FRA,1,0.86,3,3,100.0,1.0
Omar Alderete,PAR,1,0.07,3,3,85.5,1.0
Johan Bakayoko,BEL,0,0.29,3,2,100.0,1.0
Zeki Amdouni,SUI,1,0.93,3,4,90.0,1.0
Carlos Terán,COL,0,0.32,3,5,85.5,1.0
Jordan Ayew,GHA,2,1.59,3,3,100.0,1.0
Michail Antonio,JAM,1,0.48,3,3,100.0,1.0
Jorge Sánchez,MEX,0,0.14,3,3,85.5,1.0
Luis Rioja,ESP,0,0.14,3,2,85.5,1.0
Luka Sučić,CRO,0,0.32,3,3,100.0,1.0
Marcelo Brozović,CRO,0,0.13,3,3,100.0,1.0
Mario Pašalić,CRO,0,0.28,3,3,100.0,1.0
Lamine Camara,SEN,2,0.17,3,3,100.0,1.0
Denis Vavro,SVK,0,0.05,3,4,100.0,1.0
Ahmed Mostafa,EGY,1,1.14,3,4,85.5,1.0
Mohamed Elneny,EGY,0,0.09,3,2,85.5,1.0
Václav Černý,CZE,0,0.56,2,1,100.0,1.0
Youssouf Fofana,FRA,1,0.81,2,3,100.0,1.0
Tomáš Souček,CZE,1,0.19,2,3,100.0,1.0
Ronald Hernández,VEN,1,0.83,2,3,85.5,1.0
Alexander Bah,DEN,0,0.24,2,4,85.5,1.0
Viktor Tsyhankov,UKR,0,0.11,2,1,93.8,1.0
Ruslan Malinovskyi,UKR,0,0.06,2,3,94.4,1.0
Milan Škriniar,SVK,0,0.22,3,4,100.0,1.0
Jesús Ramírez,VEN,1,0.55,3,2,85.5,1.0
Nouhou Tolo,CMR,0,0.14,3,3,100.0,1.0
Nampalys Mendy,SEN,0,0.1,3,2,100.0,1.0
Moisés Caicedo,ECU,0,0.1,3,4,85.5,1.0
Nedim Bajrami,ALB,1,0.2,3,3,100.0,1.0
Nicolás Otamendi,ARG,1,1.51,3,5,95.0,1.0
Ollie Watkins,ENG,1,0.22,3,3,100.0,1.0
Joachim Andersen,DEN,0,0.14,3,4,100.0,1.0
Ferdi Kadioglu,TUR,0,0.06,2,5,85.5,1.0
Robin Hranáč,CZE,0,0.34,2,3,100.0,1.0
Iddrisu Baba,GHA,0,0.26,2,3,90.0,1.0
Ianis Hagi,ROU,0,0.05,2,4,100.0,1.0
Che Adams,SCO,0,0.12,2,3,100.0,1.0
Eduardo Camavinga,FRA,0,0.26,2,4,100.0,1.0
Nélson Semedo,POR,0,0.23,2,4,85.5,1.0
Merih Demiral,TUR,2,0.72,3,4,100.0,1.0
Mathías Villasanti,PAR,0,0.41,3,3,85.5,1.0
Rúben Dias,POR,0,0.08,2,4,85.5,1.0
Diogo Jota,POR,0,0.04,2,4,85.5,1.0
Giorgi Kvernadze,GEO,0,0.08,2,4,82.4,1.0
André,BRA,1,0.82,2,3,90.0,1.0
András Schäfer,HUN,0,0.07,2,3,100.0,1.0
Florinel Coman,ROU,0,0.06,2,2,85.5,1.0
Tajon Buchanan,CAN,0,0.29,2,3,100.0,1.0
Jeremie Frimpong,NED,0,0.17,2,3,100.0,1.0
Jean-Charles Castelletto,CMR,1,0.14,2,4,100.0,1.0
Jakub Kiwior,POL,0,0.08,2,3,85.5,1.0
Olivier Giroud,FRA,0,0.16,2,4,100.0,1.0
Bobby De Cordova-Reid,JAM,0,0.08,2,2,95.0,1.0
Bryan Cristante,ITA,0,0.07,2,3,100.0,1.0
Pape Gueye,SEN,1,0.17,2,3,100.0,1.0
Scott McKenna,SCO,0,0.09,2,3,100.0,1.0
Silvan Widmer,SUI,0,0.16,2,4,100.0,1.0
Martín Cáceres,URU,0,0.16,2,5,85.5,1.0
Giovanni Di Lorenzo,ITA,0,0.19,2,4,100.0,1.0
Federico Dimarco,ITA,0,0.03,2,3,100.0,1.0
Pape Matar Sarr,SEN,1,0.8,2,3,100.0,1.0
Ismail Jakobs,SEN,0,0.13,2,4,100.0,1.0
Ivan Ilić,SRB,0,0.05,2,3,100.0,1.0
Ivan Toney,ENG,1,0.91,2,3,100.0,1.0
Calvin Bassey,NGA,0,0.61,2,7,90.0,1.0
Abraham Romero,MEX,0,0.09,2,3,85.5,1.0
João Pedro,POR,0,0.08,2,4,90.0,1.0
Joey Veerman,NED,0,0.14,2,6,100.0,1.0
Marc Guéhi,ENG,0,0.14,2,6,100.0,1.0
Matias Arezo,URU,1,0.1,2,5,85.5,1.0
Cristian Cásseres Jr.,VEN,0,0.08,2,3,85.0,1.0
Nathan Aké,NED,0,0.11,2,6,100.0,1.0
Nico Schlotterbeck,GER,0,0.07,2,3,100.0,1.0
Ernest Nuamah,GHA,0,0.08,2,1,85.5,1.0
Felipe,BRA,0,0.12,2,4,90.0,1.0
Elseid Hysaj,ALB,0,0.1,2,2,100.0,1.0
Nicola Zalewski,POL,0,0.12,2,3,100.0,1.0
Berat Djimsiti,ALB,0,0.1,2,3,100.0,1.0
Bilal El Khannouss,MAR,0,0.31,2,3,97.1,1.0
Billy Gilmour,SCO,0,0.09,2,3,100.0,1.0
Krépin Diatta,SEN,0,0.09,2,4,100.0,1.0
